비자코드,상위코드,사증·체류,신청종류,신청상황,대상자,자격요건,절차,수수료,사증유효기간,1회부여 체류기간,체류상한,제한,예외,의무사항,점수표,쿼터,초청자,추천·승인기관,제출서류,예상질문,출처,선행자격,다음단계,동반가족,키워드,검수상태,검수메모
E-5,E-5,체류,재입국허가,등록을 필한 외국인,,"출국한 날부터 1년 이내 재입국 시 재입국허가 면제
체류기간이 1년보다 적게 남은 경우 체류기간 범위 내 재입국허가 면제

복수재입국허가: 출국 후 체류기간 범위 내에서 1년을 초과하여 2년 내에 재입국하려는 경우",,,"재입국허가 면제: 출국일로부터 1년 이내
복수재입국허가: 1년 초과 2년 이내",,,"입국규제 및 사증발급규제자는 체류지 관할 청(사무소·출장소)에 방문하여 재입국허가 필요
사우디아라비아, 이란, 리비아는 복수재입국 제한","사우디아라비아·이란·리비아 국민 중 결혼이민(F-6), 유학(D-2), 일반연수(D-4)는 복수재입국 가능",,,,,,"[필수서류]
복수재입국허가:
- 신청서(별지 34호서식)
- 여권 원본
- 외국인등록증
- 수수료","잠깐 출국했다가 다시 들어와도 재입국허가 받아야 하나요?
1년 넘게 나가 있어야 하면 어떻게 해요?
사우디나 이란 사람은 다른가요?",E-5 전문직업 / 재입국허가 (p. 31),의사·변호사·회계사 등 전문 자격증,"F-2-7, F-5 영주",F-3 동반,"전문직업, 변호사, 의사",완료,"[3차요약] E-5 재입국허가는 1년 이내 면제, 1년 초과 2년 이내는 복수재입국허가 필요. 사우디·이란·리비아는 복수재입국 제한"
E-5,E-5,체류,외국인등록,,,,외국인등록사항 변경신고: 변경일로부터 15일 이내,,,,,,,"성명, 성별, 생년월일 및 국적, 여권 변경사항 변경일로부터 15일 이내 신고
변경 시 제출: 신청서(별지 34호 서식), 여권 및 외국인등록증, 변경관련 입증서류 (수수료 없음)",,,,,"[필수서류]
- 신청서(별지34호 서식)
- 여권원본
- 표준규격사진 1장
- 수수료
- 사업자등록증('부가가치세법'에 따른)
- 체류지 입증서류","전문직업 비자로 외국인등록 할 때 뭘 내야 해요?
여권 바뀌면 따로 신고해야 하나요?
체류지 증명은 어떤 걸로 하면 돼요?",E-5 전문직업 / 외국인등록 (p. 31~32),의사·변호사·회계사 등 전문 자격증,"F-2-7, F-5 영주",F-3 동반,"전문직업, 변호사, 의사",완료,[3차요약] E-5 외국인등록은 신청서·여권원본·사진·수수료·사업자등록증·체류지 입증서류. 인적사항 변경은 15일 이내 신고
E-6,E-6,체류,체류자격외 활동허가,"합법체류 등록외국인(A-1, A-2, A-3 포함)으로서 방송, 영화, 모델활동을 하고자 하는 경우","고급과학기술인력(SCIENCE 카드), 첨단기술인력(GOLD 카드), 정보기술인력(IT카드) 자격 소지 전문 외국인력의 배우자
미화 50만불 이상 투자(법인포함)한 투자자격 소지자의 배우자
전문 외국인력자격(E-1, E-2, E-3, E-4, E-5, E-6-2 제외 E-6, E-7) 소지자의 배우자","비영리목적 지상파방송 임시(1회 및 비연속성) 출연은 일상생활의 부수적 활동으로 별도 허가 없이 활동 허용 (실비 사례금 가능)
고액투자외국인 및 전문인력 배우자

제출서류 및 체류실태 등을 종합 심사하여 허가여부 결정",,,,,,"세부자격 약호 E-6-2 활동에 종사하려는 경우는 자격외 활동허가 대상 제외
배우자 자격외활동: 단순노무(D-3, E-9) 등을 제외한 모든 직종 허용","정규교육기관(초·중·고 및 대학) 교육은 체류기간 범위 내 별도 허가 절차 불요
배우자 허가기간: 배우자의 체류기간까지(계속연장 가능)",,,,,,"[필수서류]
- 신청서(별지 34호 서식)
- 여권 및 외국인등록증
- 수수료
- 고용계약서
- 공연추천서(문화체육관광부 또는 방송통신위원회)
- 사업자등록증 등 단체 설립관련 서류
- 원 근무처장의 동의서(해당자)

[기타서류]
A-1, A-2자격 소지자: 외교부장관(외교사절담당관)의 추천서","예술흥행 비자로 다른 활동도 할 수 있나요?
배우자가 같이 와서 일할 수 있어요?
유흥업소 공연하는 사람은 자격외 활동 안 되나요?",E-6 예술흥행 / 체류자격외 활동 (p. 202),예술·연예·체육 활동 초청,"F-2 거주, F-5 영주",F-3 동반,"예술흥행, 연예인, 운동선수",완료,"[3차요약] E-6 자격외 활동은 방송·영화·모델활동, 대학강연 등. E-6-2(호텔·유흥 공연)는 자격외 활동 대상 제외. 비영리 지상파 임시 출연은 일상생활 부수적 활동으로 허가 불요"
E-6,E-6,체류,근무처 변경/추가,"E-6-1(음악, 미술, 문학 등 예술, 방송연예활동): 사후 신고대상
E-6-3(운동선수, 프로팀 감독, 매니저): 사후 신고대상
E-6-2(호텔업 시설, 유흥업소 등 공연): 사전 허가대상",,"호텔업 시설·유흥업소 공연활동 종사자(E-6-2) 제외 E-6 자격으로 외국인등록 하고 체류 중
변경·추가 근무처에서 활동하는데 필요한 자격요건 구비

E-6-2: 미리 관할 출입국·외국인청장 등에게 체류자격 변경·추가허가 신청
심사 후 최대 1년의 범위 내에서 고용계약기간 동안 체류기간 부여","사후 신고: 신고의무자는 사유 발생일로부터 15일 이내 관할 청장에게 신고
여권에 스티커 부착 위해 방문신고 원칙
파견근로자보호법 절차에 따른 공연장소 변경은 고용주 신고사항",사후 신고대상은 수수료 없음,,,,"본인 귀책사유로 해고 또는 중도 퇴직한 자로서 원고용주의 이적동의를 받지 못한 자는 제외
입국 후 6개월 이내 공연장소 변경 불가(원 공연장소 휴·폐업 등 부득이한 사정 제외)","사유서와 신원보증서는 원칙적으로 제출 생략
원 근무처장 동의서는 계약기간 만료일까지 근무한 경우 면제",공연장소 변경 시 변경일로부터 15일 이내 고용변동 신고(고용주),,,,,"[필수서류]
사후 신고대상(E-6-1, E-6-3):
- 신청서[별지 제34호 서식]
- 여권 및 외국인등록증
- 사업자등록증
- 원 근무처장의 동의서
- 고용계약서
- 고용추천서 또는 공연추천서
사전 허가대상(E-6-2):
- 신청서(별지 제34호 서식)
- 여권 및 외국인등록증
- 수수료
- 사업자등록증
- 원 근무처장의 동의서
- 고용계약서
- 공연 추천서(영상물등급위원회 발행)
- 신원보증서 원본","예술흥행 비자인데 소속사 옮기려면 어떻게 해요?
호텔에서 공연하는 사람은 사전허가 받아야 하나요?
공연장소만 바뀌어도 신고해야 해요?",E-6 예술흥행 / 근무처 변경·추가 (p. 187),예술·연예·체육 활동 초청,"F-2 거주, F-5 영주",F-3 동반,"예술흥행, 연예인, 운동선수",완료,"[3차요약] E-6 근무처 변경은 E-6-1/E-6-3은 사후신고(15일 이내), E-6-2(호텔·유흥 공연)는 사전허가. 사후신고는 수수료 없음. E-6-2 사전허가는 최대 1년 범위 내 체류기간 부여"
E-6,E-6,체류,체류자격 변경,"유학(D-2), 구직(D-10), 무사증/단기사증, 일반 체류자격, 사증면제(B-1) 독일인, 전문외국인력 배우자(F-3)","전문외국인력《E-1 내지 E-5, E-6(E-6-2 제외), E-7》자격소지자의 배우자로서 동반(F-3)자격 소지자","E-6-1 및 E-6-3에 해당하는 경우 제한적으로 허용
국제적으로 명성이 있는 전문예술·체육인의 경우 본부승인을 얻어 변경 허용
구직(D-10) 또는 유학(D-2) 자격 소지 합법 체류 중
취업활동 분야가 E-1·E-2·E-3·E-4·E-5·E-6·E-7 자격에 해당 + 자격요건 구비
해당 기관·단체 등 대표자와 고용계약 체결

유학(D-2) 자격 소지자는 구직(D-10)으로 변경 가능 요건 갖춘 졸업예정자
무사증/단기사증 입국자 자격변경은 불가피한 사유나 국익차원에서 허용
입단 테스트, 국제대회 참가자 등 입증자료 제출 시 청장 등 재량으로 허가",,,,"허가기간: 변경허가일로부터 최대 2년 범위 내에서 근로계약기간 + 1개월
독일인 변경: 체류자격별 1회 부여 체류기간의 상한",허가기간: 변경허가일로부터 최대 2년 범위 내에서 근로계약기간 + 1개월,"호텔·흥행(E-6-2) 분야 활동은 체류자격 변경 금지
일반 체류자격으로 장기 체류 중인 자는 현재 자격 그만두고 귀국 전 단기간 방송출연·모델활동만 허용 (E-6 또는 F-2, F-4, F-5 등 취업제한 없는 자격 소지자 제외)
독일인 사증면제(B-1) 변경 시 기술연수(D-3), 비전문취업(E-9), 관광취업(H-1) 제외",,,,,,,"[필수서류]
- 신청서(별지 34호서식)
- 여권 및 외국인등록증
- 표준규격사진 1장
- 수수료
- 고용계약서(또는 공연계약서)
- 사업자등록증
- 고용·공연추천서(문화체육관광부, 영상물등급위원회, 방송통신위원회, 프로스포츠 연맹 등 발급)","유학생인데 졸업하고 예술 비자로 바꿀 수 있나요?
관광으로 들어왔는데 운동선수 비자로 전환 가능해요?
배우자가 예술 활동 하려면 어떻게 해요?",E-6 예술흥행 / 체류자격 변경 (p. 205),예술·연예·체육 활동 초청,"F-2 거주, F-5 영주",F-3 동반,"예술흥행, 연예인, 운동선수",완료,"[3차요약] E-6 체류자격 변경은 E-6-1/E-6-3만 제한적 허용, E-6-2(호텔·유흥)는 변경 금지. 국제적 명성 전문예술·체육인은 본부승인. 허가기간은 근로계약+1개월(최대 2년)"
E-6,E-6,체류,체류기간 연장,"근로계약기간 연장, 근무처 변경 등으로 계속 체류해야 할 필요성 있는 E-6 자격 등록외국인",,"[표]
E-6 세부약호별 체류기간 연장 허가기간 표

E-6-1, E-6-3: 근로계약기간 + 1개월(최대 2년)
E-6-2: 최대 1년(연소자 유해 시 최대 6개월)",,,,,"E-6-1, E-6-3: 근로계약기간 + 1개월(최대 2년)
E-6-2: 공연추천기간 또는 근로계약기간(최대 1년. 단, 영등위 추천서 상 연소자 유해성 '유해'인 경우 최대 6개월)",,,,,,,,"[필수서류]
- 신청서(별지 34호서식)
- 여권 및 외국인등록증
- 수수료
- 고용추천서 또는 공연추천서(영상물등급위원회, 문화체육관광부, 방송통신위원회 등 발행)
- 고용계약서(또는 공연계약서)
- 사업자등록증 사본
- 신원보증서(E-6-2 자격만)
- 체류지 입증서류(임대차계약서, 숙소제공 확인서, 체류기간 만료예고 통지우편물, 공공요금 납부영수증, 기숙사비 영수증 등)
- 건강보험특실 확인서(E-6-2 자격만)

[기타서류]
기타 심사에 필요한 자료(필요 시 1-2종): 재직증명서, 외국인 고용현황, 근로소득원천징수부 등","예술흥행 비자 얼마나 더 연장할 수 있어요?
호텔에서 공연하는데 1년까지만 연장되나요?
연장할 때 어떤 서류 챙겨야 해요?",E-6 예술흥행 / 체류기간 연장 (p. 41),예술·연예·체육 활동 초청,"F-2 거주, F-5 영주",F-3 동반,"예술흥행, 연예인, 운동선수",완료,"[3차요약] E-6 체류기간 연장은 E-6-1/E-6-3는 근로계약+1개월(최대 2년), E-6-2(호텔·유흥)는 최대 1년(연소자 유해 시 6개월). E-6-2는 신원보증서, 건강보험특실 확인서 추가 필요"
E-6,E-6,체류,외국인등록,,,"채용신체검사서: 공무원채용신체검사서 발급 절차 따름
HIV반응 및 마약검사 항목은 필수 검사항목 아님",,,,,,,,"외국인등록사항 변경신고: 성명·성별·생년월일·국적, 여권 번호·발급일자·유효기간 변경 시 변경일로부터 15일 이내 신고
해고·중도퇴직자: 사유 발생일로부터 15일 이내 관할 청장 등에게 신고",,,,,"[필수서류]
- 신청서(별지34호 서식)
- 여권원본
- 표준규격사진 1장
- 수수료
- 사업자등록증 사본('부가가치세법'에 따른) - 해당 외국인을 고용한 단체·기업 등의 사업자등록증 또는 고유번호증
- 채용신체검사서 1부 (E-6-2만 제출)
- 체류지 입증서류","예술흥행 비자로 외국인등록 할 때 신체검사 받아야 해요?
유흥업소 공연 종사자는 따로 내야 하는 서류 있나요?
여권 바뀌면 며칠 안에 신고해야 해요?",E-6 예술흥행 / 외국인등록 (p. 32),예술·연예·체육 활동 초청,"F-2 거주, F-5 영주",F-3 동반,"예술흥행, 연예인, 운동선수",완료,[3차요약] E-6 외국인등록은 일반 서류 + E-6-2(호텔·유흥 공연)는 채용신체검사서 추가. HIV·마약검사는 필수 항목 아님
E-7,E-7,체류,체류자격 부여,대한민국 내의 공·사기관 등과의 계약에 따라 법무부장관이 특별히 지정하는 활동에 종사하려는 사람,"E-7-1 전문인력: 관리자 및 전문가 (67개 직종)
E-7-2 준전문인력: 사무 및 서비스종사자 (10개 직종)
E-7-3 일반기능인력: 기능원 및 관련기능종사자 (14개 직종)
E-7-4 숙련기능인력(점수제): 3개 직종 ('17.8.1 신설)
E-7-91 FTA 독립전문가
E-7-S 네거티브 방식 전문인력: 고소득자, 첨단산업분야 종사자
E-7-Y 국내성장인력
E-7-T 최우수인재 특정활동: 최우수인재 첨단산업분야 종사자","한국표준직업분류 상 대분류 항목과 직능수준 등을 감안한 도입직종 종사

일반요건 (하나 충족):
- 도입직종과 연관성 있는 분야 석사 이상 학위
- 도입직종과 연관성 있는 학사학위 + 1년 이상 첨단기술 분야 경력
- 도입직종과 연관성 있는 분야 5년 이상 근무경력
특별요건: 세계 500대 기업 1년 이상 전문직 근무경력자, 세계 우수대학(타임지 200대 / QS 500위) 학사학위 소지자, 국내 전문대학/대학 졸업자, 첨단기술인턴(D-10-3) 1년 이상 근무자 등 학력·경력 면제
부처추천 전문능력 우수인재(전년도 GNI 1.5배 이상 + 추천): 학력·경력 면제
고소득 전문직 우수인재(전년도 GNI 3배 이상): 직종 무관 학력·경력 면제
해외 유망인재(29세 이하 + 세계우수대학/한국학 + TOPIK 6급): 학위·경력 요건 면제
아시아권 QS 1,000위 이내 현지대학 이공계 졸업생(29세 이하 + TOPIK 2급): 경력요건 면제

[표]
E-7 세부약호별 분류기준과 직종 수, 첨단과학기술인력 우대 골드카드 추천기관 표

골드카드: 산업통상자원부(KOTRA), 2000년, IT/기술경영/나노/디지털전자/바이오/수송기계/신소재/환경에너지 등 8개 분야","기업 스스로 채용 → 사증발급 신청 또는 체류자격 변경허가 신청
뿌리산업체 숙련기능공: 비전문취업자 자격변경 + 민관합동 전문가 기량검증",,,"1회 부여 체류기간 상한: 3년 (주무부처 추천 우수인재, 지역특화발전특구, 첨단의료복합단지 내 E-7 직종, 경제자유구역 의료연구개발기관 연구원은 5년)",,"신청직종과 가장 유사한 직종의 자격요건 충족 시 가장 유사한 직종으로 고용 허용
대분류 1·2 전문직종: 청장 등 재량 허용
대분류 3-8 준전문·숙련기능직종: 법무부장관 승인 필요
초청자: 사증발급인정서 발급제한 대상자, 고용업체 요건 미충족, 세금 체납 시 제외","고용추천서 면제: 대학 및 공공기관 고용, 사기업 대기업 관리자 고용
창업 5년 이내 소규모 외국인투자기업·벤처기업: 매출실적 없어도 허용 (67개 전문인력 직종)",,E-7-4 숙련기능인력: 점수제 적용,'25.6 현재 91개 직종 (278개 세부분류) 선정,,,,"특정활동 비자로 한국에서 어떤 일 할 수 있어요?
학사 학위로도 받을 수 있나요 아니면 석사 필요해요?
연봉이 높으면 학력·경력 안 봐주나요?",E-7 특정활동 / 적용대상 및 도입기준 (p. 152),학력·경력 요건 + 국내기업 채용,"E-7-4 숙련 (변경), F-2-7 점수제, F-5 영주",F-3 동반,"특정활동, 전문인력, 외국인 채용",완료,"[3차요약] E-7 특정활동은 67개 전문직(E-7-1), 10개 준전문직(E-7-2), 14개 일반기능(E-7-3), 3개 숙련기능(E-7-4) 등 91개 직종(278개 세부분류). 일반요건은 석사 이상, 학사+1년, 또는 5년 경력 중 하나. 1회 체류상한 3년(특정 분야 5년)"
E-7,E-7,체류,체류자격외 활동허가,"외국인투자기업 CEO 등 우수전문인력, A-1·A-2 소지자, 주한외국공관원 가족, 고액투자외국인·전문인력 배우자, 방문동거(F-1)/동반(F-3) 자격 소지자, 제주영어교육도시 종사자","A-1, A-2 자격 소지자: 외국어회화강사(E-2), 외국인학교교사(E-7), 외국어교열요원(E-7), 문화예술(D-1), 종교(D-6), 교수(E-1), 연구(E-3) 등 활동","투자자(D-7, D-8, D-9) 중 국내기업 상근이사 이상의 직 근무자
전문인력(E-1, E-3 ~ E-5, E-7) 자격소지자
주한외국공관원 가족: 상호주의에 따라 27개 국가 (외교부장관 추천)

대학 강연: 90일 이내 강의활동
제주영어교육도시 국제학교 보조교사/강사: 국제학교 재학생 부모/교직원 직계가족, 18세 이상 해외 본교 졸업생, 학사 이상 + 2년 경력 또는 TESOL 자격증",,,,배우자 허가기간: 배우자의 체류기간까지 (계속연장 가능),,"배우자 자격외활동: 단순노무(D-3, E-9) 등 제외 모든 직종
제주영어교육도시 판매종사자: 영어 모국어 국가 출신 외 TOEIC 800점 이상 또는 TESOL 필수",정규교육기관 교육은 체류기간 범위 내 별도 허가 절차 불요,,,,,,"[필수서류]
대학 강연(C-4-5):
- 신청서(별지 34호 서식)
- 여권 및 외국인등록증
- 수수료
- 주무부처 장의 고용추천서
- 사업자등록증 사본
- 고용계약서
- 원 근무처장의 동의서
방문동거(F-1) 중국동포:
- 신청서(별지 34호 서식)
- 여권 및 외국인등록증
- 수수료
- 주무부처 장의 고용추천서 또는 고용필요성 입증서류
- 고용계약서
- 사업자등록증
- 학위증 또는 자격증

[기타서류]
F-1, F-3 자격 소지자 외국어회화강사(E-2)/외국인학교교사(E-7):
- 해당국 교원자격증 원본(없으면 학위증·경력증명서)
- 범죄경력증명서, 채용신체검사서
- 학교장 요청서
- 외국인교사 현황","특정활동 비자로 대학에서 강의도 할 수 있나요?
외교관 가족인데 한국에서 일할 수 있어요?
제주 국제학교에서 일하려면 어떤 요건이 필요해요?",E-7 특정활동 / 체류자격외 활동 (p. 216),학력·경력 요건 + 국내기업 채용,"E-7-4 숙련 (변경), F-2-7 점수제, F-5 영주",F-3 동반,"특정활동, 전문인력, 외국인 채용",완료,"[3차요약] E-7 자격외 활동은 외국공관원 가족, 첨단기술인력, 배우자, 제주영어교육도시 보조교사 등 다양한 경로. 제주영어교육도시 판매종사자는 영어 모국어 외 TOEIC 800 또는 TESOL 필요"
E-7,E-7,체류,근무처 변경/추가,특정활동(E-7) 자격으로 외국인등록 하고 체류 중인 자,"사전 허가대상: 기계공학기술자(2351), 제도사(2395), 해외영업원(2742) 중 해외 온라인상품판매원, 디자이너(285), 판매사무원(31215), 주방장 및 조리사(441), 고객상담사무원(3991), 호텔접수사무원(3922), 의료코디네이터(S3922), 양식기술자(6301), 조선용접공(7430), 숙련기능 점수제 종사자(S740, S610, S700), 선박 전기원(76212), 선박 도장공(78369), 항공(부품) 제조원(S8417), 송전전기원(76231), 자동차 부품제조원(S85411), 자동차 판금·도장원(S75104), 도축원(S71032)
사후 신고대상: 상기 직종 제외 특정활동(E-7)","판매사무원 등 14개 직종 제외 E-7 자격 소지자
변경·추가 근무처에서 활동하는데 필요한 자격요건 구비

'10.11.15부 사후 신고제로 개정(출입국관리법시행령 제26조의2제1항)
주방장 및 조리사: 원 근무처 외 타 근무처 근무시간은 원 근무처의 1/3 초과 불가","신고의무자는 신고사유 발생일로부터 15일 이내에 관할 청장에게 신고
여권에 스티커 부착 위해 방문신고 원칙",사후 신고는 수수료 없음,,,,본인 귀책사유로 해고/중도 퇴직 + 원고용주 이적동의 미수령자 제외 (근무처변경허가 또는 사증발급인정서 신청 대상),"사유서와 신원보증서는 원칙적으로 제출 생략
원 근무처장 동의서: 계약기간 만료일까지 근무 시 면제, 휴·폐업/임금체불 시 입증서류·사유서로 대체 가능",,,,,,"[필수서류]
사후 신고:
- 통합신청서[별지 제34호~제34호의2 서식]
- 여권 및 외국인등록증
- 주무부처 장의 고용추천서 또는 고용 필요성 입증서류
- 고용계약서
- 원 근무처장의 동의서
- 사업자등록증
사전 허가:
- 휴·폐업사실증명서, 임금체불 관련 공적 입증서류, 매출감소 등 경영악화 입증서류 (해당 중 1종)
- 원 고용주의 이적동의서
- 새로 고용계약한 업체의 자격요건 심사 서류 (사증발급인정서 첨부서류 준용)","특정활동 비자인데 회사 옮기면 사전허가 받아야 하나요?
조리사는 사전허가 직종이라던데 어떻게 처리해요?
퇴직했는데 다른 회사로 옮길 수 있어요?",E-7 특정활동 / 근무처 변경·추가 (p. 168),학력·경력 요건 + 국내기업 채용,"E-7-4 숙련 (변경), F-2-7 점수제, F-5 영주",F-3 동반,"특정활동, 전문인력, 외국인 채용",완료,"[3차요약] E-7 근무처 변경은 14개 직종(판금·도장원, 도축원 등) 사전허가 + 그 외 사후신고. 사후신고는 수수료 없음, 15일 이내. 주방장·조리사는 타 근무처 시간이 원 근무처의 1/3 초과 불가"
E-7,E-7,체류,체류자격 변경,"D-1, D-2, D-4, D-5, D-6, D-7, D-8, D-9, D-10, E-1, E-2, E-3, E-4, E-5, E-6(E-6-2 제외) 자격 합법 체류 등록외국인 및 동반 배우자(F-3)","외국인학교 교사 변경: 외국인학교 채용 절차 중인 합법체류자
비전문취업(E-9) 등 4년 이상 합법취업 + 점수제 E-7-4 변경자","특정활동(E-7) 자격 허용직종별 요건을 갖춘 체류외국인
취업 분야가 E-1·E-2·E-3·E-4·E-5·E-6·E-7 자격에 해당 + 자격요건 구비
해당 기관·단체 대표자와 고용계약 체결

국민고용 보호: 원칙적으로 국민고용자의 20% 범위 내 E-7 외국인 고용 허용
5명 미만 국민 고용 내수 위주 업체 또는 E-7 비율 20% 초과 업체: 신규·대체 초청·변경·근무처변경 원칙 불허
주무부처 추천 첨단산업: 국민근로자 50% 범위
특수 언어지역 우량 수출업체: 국민근로자 70% 범위
급여총액(연봉) 당해연도 최저임금 미만 시 발급 제한
전문인력: 법무부장관 확정·공고 임금요건 기준 적용
준전문/일반기능/숙련기능: 최저임금 이상
국내 전문학사·학사학위 소지자: 학사 + 1년 경력 직종도 고용추천서 제출 생략 (필수 직종 제외)",,,,독일인 변경: 체류자격별 1회 부여 체류기간의 상한,외국인학교 교사 변경 시: 최초 1년 범위 내,"단기체류(B계열, C계열), 기술연수(D-3), 계절근로(E-8), 비전문취업(E-9), 선원취업(E-10), 기타(G-1) 자격은 변경 제한
독일인 변경 시 기술연수(D-3), 비전문취업(E-9), 관광취업(H-1) 제외","아래 직종 자율검증대상자(외국인학교 교사) 범죄경력증명서 면제: 해당국 교원자격증 소지자, 채용박람회 채용 교사, 최근 5년 이내 국내 E-2/E-7로 3년 이상 근무자
정부초청 장학생 일/학습연계유학(D-2-7) 졸업자: 모든 직종에 대해 국민고용비율 적용 면제",,E-7-4 숙련기능인력 점수제 변경: 별도 매뉴얼 참조 ('23.9.25 개선 시행),,,,"[필수서류]
- 신청서(별지 34호서식)
- 여권 및 외국인등록증
- 표준규격사진 1장
- 수수료
- 고용계약서
- 고용업체 설립관련 서류(사업자등록증, 등기부등본 등)
- 경력증명서
- 주무부처 장의 고용추천서 또는 고용 필요성 입증서류
- 납세증명서(국세완납증명서), 지방세 납세증명

[기타서류]
외국인학교 교사 추가서류:
- 해당국 교원자격증(없으면 학위증·경력증명서)
- 학교장 추천서
- 원 근무처장의 동의서(해당자)
- 신원보증서
- 학교설립관련 서류
- 범죄경력증명서(E-2 자격과 동일)
- 채용신체검사서","유학생인데 졸업하고 특정활동 비자로 바꿀 수 있어요?
국민고용 비율이 뭐예요, 회사 규모가 작아도 받을 수 있나요?
비전문 취업으로 4년 이상 일했는데 숙련기능 비자로 바꿀 수 있어요?",E-7 특정활동 / 체류자격 변경 (p. 219),학력·경력 요건 + 국내기업 채용,"E-7-4 숙련 (변경), F-2-7 점수제, F-5 영주",F-3 동반,"특정활동, 전문인력, 외국인 채용",완료,"[3차요약] E-7 체류자격 변경의 국민고용 보호는 차등 적용: 일반 20%, 첨단산업분야(KOTRA/한국무역협회 추천) 50%, 특수 언어지역 우량 수출업체 70%. 임금요건은 전문인력은 법무부 공고 기준, 준전문·일반기능·숙련기능은 최저임금 이상"
E-7,E-7,체류,체류기간 연장,,,"한·인도 CEPA 독립전문가(IP):
- 국내법인/개인사업자와 서비스공급계약 체결한 전문가
- 양허직종(162개)에서 1년 이상 경력
- 사증특례: 최대 1년 단수사증발급인정서 (계약기간 1년 초과 시 1년 부여)
- 체류특례: 체류기간연장·근무처변경·자격변경·자격외활동허가 제한 (인도적 사유 예외)
한·러 한시적 근로활동 협정 (국내 채용 전문인력):
- 모회사 국내지사·자회사·계열회사 직원으로 국내 채용 + 자격요건 구비
- 1년 유효 복수사증발급인정서 발급
- 1회 6개월 체류기간 연장 허용 (최장 1년 6개월)
- 가족동반 불허",,,,,,,,,,,,,"[필수서류]
- 신청서(별지 34호 서식)
- 여권 및 외국인등록증
- 수수료
- 고용계약서
- 개인 소득금액 증명 (필수): 소득금액증명원(세무서) 또는 근로소득원천징수부(소속회사)
- 사업자등록증 사본 또는 법인등기부등본
- 체류지 입증서류(임대차계약서, 숙소제공 확인서, 체류기간 만료예고 통지우편물, 공공요금 납부영수증, 기숙사비 영수증 등)
- 고용주 납부내역증명, 납세증명서, 지방세 납세증명서 (정상영업 및 세금체납여부확인)

[기타서류]
신원보증서 원본 (아래 직종 한정):
기계공학기술자(2351), 제도사(2395), 해외영업원(2742) 중 해외 온라인상품판매원, 디자이너(285), 판매사무원(31215), 주방장 및 조리사(441), 고객상담사무원(3991), 호텔접수사무원(3922), 의료코디네이터(S3922), 양식기술자(6301), 조선용접공(7430), 숙련기능 점수제 종사자(S740, S610, S700)
외국법자문법률사무소 파견 구성원·외국법자문사·사무직원: 국내 법률사무소 설립관련 서류","특정활동 비자 연장하려면 소득증명도 내야 하나요?
조리사인데 연장할 때 신원보증서 필요해요?
인도에서 온 독립전문가는 따로 적용되나요?",E-7 특정활동 / 체류기간 연장 (p. 219~222),학력·경력 요건 + 국내기업 채용,"E-7-4 숙련 (변경), F-2-7 점수제, F-5 영주",F-3 동반,"특정활동, 전문인력, 외국인 채용",완료,"[3차요약] E-7 체류기간 연장은 일반 연장 + 특례(한·인도 CEPA, 한·러 협정). 14개 사전허가 직종은 신원보증서 원본 추가 제출. 소득금액 증명 필수"
E-7,E-7,체류,외국인등록,,,,,,,,,,,"외국인등록사항 변경신고: 성명·성별·생년월일·국적, 여권 번호·발급일자·유효기간 변경 시 변경일로부터 15일 이내 신고
변경 시 제출: 신청서(별지 34호 서식), 여권 및 외국인등록증, 변경관련 입증서류 (수수료 없음)",,,,,"[필수서류]
- 신청서(별지34호 서식)
- 여권원본
- 표준규격사진 1장
- 수수료
- 사업자등록증('부가가치세법'에 따른)
- 채용신체검사서 (외국인학교 등 교사만)
- 체류지 입증서류","특정활동 비자로 외국인등록 할 때 뭘 내야 해요?
외국인학교 교사는 신체검사 받아야 하나요?
여권 갱신했는데 며칠 안에 신고해야 해요?",E-7 특정활동 / 외국인등록 (p. 32),학력·경력 요건 + 국내기업 채용,"E-7-4 숙련 (변경), F-2-7 점수제, F-5 영주",F-3 동반,"특정활동, 전문인력, 외국인 채용",완료,[3차요약] E-7 외국인등록은 일반 서류 + 외국인학교 교사만 채용신체검사서 추가. 인적사항 변경은 15일 이내 신고
