비자코드,상위코드,사증·체류,신청종류,하위프로그램,신청상황,대상,자격요건,제출서류,절차,수수료,기간,제한,예외,의무사항,공통사항,점수표,쿼터,초청자,추천·승인기관,표 데이터,페이지,연계비자,키워드,예상질문,검수상태,검수메모
F-5 (F-5-20),F-5,체류,체류자격 부여,F-5-20,K-STAR 영주(F-5-S1) 자격을 받은 사람의 배우자 또는 미성년자녀,,"부 또는 모 중 일방 이상이 영주자격으로 국내에 체류 중
영주자격을 가지지 않은 부 또는 모는 E-8, E-9, E-10, H-1, G-1을 제외한 어느 하나의 장기 체류자격으로 합법 체류
부모 양 당사자 간 법률상 혼인 관계 성립
부모와 신청인이 법률상 가족관계 형성, 실제 가족 생활
신청인은 부모와 혈연관계 친생자녀
출생지: 대한민국 국내
영주자격 신청일: 출생한 날로부터 1년 미만
출생일로부터 90일 초과 신청 시 범칙금 납부대상
생계유지능력요건 면제
K-STAR 영주 3- 자격 요건과 동일하게 적용
점수제 영주자의 배우자·미성년자녀(F-5-18)에 대한 체류지침 적용","- 가족관계 입증서류 (중국의 경우 호구부 등)
- 출생증명서 등
- 대한민국 국적 미보유 확인서 (부 또는 모가 자필 기재)
- 유전자 감정결과서 (법률혼 1년 미만이거나 필요시)","대한민국에서 체류하고 있는 영주(F-5) 자격의 부 또는 모가 대한민국에서 출생한 자녀에 대하여 체류자격부여를 신청
출생한 날부터 90일 이내에 체류자격 부여신청",8만원,,"해외에서 출생한 자녀는 제외
부모가 출생 후 혼인신고한 경우 대상 아님
양자관계는 대상 아님
출생한 날로부터 1년 초과 시 신청 불가",,,,,,,,,p. 406,"F-5-S1, F-5-18","영주권자 자녀, 국내 출생, 체류자격 부여, 90일 이내, K-STAR 영주, 동반가족, 점수제 영주자","한국에서 영주권 가진 부모 사이에 태어난 아기는 어떻게 영주권을 받나요?
출생 후 며칠 안에 신청해야 해요?
K-STAR 영주 받은 사람 가족도 영주 받을 수 있어요?
영주자의 자녀는 어떤 자격이에요?",미검수,
F-5,F-5,체류,재입국허가,,,,"출국한 날부터 2년 이내에 재입국하고자 하는 자에 대하여는 재입국허가 면제
출국한 날부터 2년을 초과하고자 하는 경우 기간만료 전에 재외공관에서 재입국허가 연장 필요(허가기간 3월 이내)
공관장의 허가범위: 출국한 날부터 2년이 만료되는 시점부터 3월 이내",,,단수 3만원 / 복수 5만원,,,출국한 날부터 2년 이내 재입국 시 재입국허가 면제,,,,,,,,p. 439,,"영주, 재입국허가, 2년 면제, 재외공관","영주권자가 한국 떠나있다가 다시 들어올 때 따로 허가 받아야 해요?
2년 넘게 해외에 있을 때 어떻게 하나요?",미검수,
F-5,F-5,체류,외국인등록,,,,,"- 신청서(별지 34호 서식), 표준규격사진 1매, 수수료
- 체류지 입증서류",,외국인등록증 발급·재발급 3만 5천원,,,,,,,,,,,p. 439,,"영주, 외국인등록, 체류지 입증서류","영주권 받은 후 외국인등록은 어떻게 해요?
영주권자도 체류지 변경 서류 내야 해요?",미검수,
F-6,F-6,체류,공통사항,,,,"한국에서 혼인이 유효하게 성립되어 있고, 우리 국민과 결혼생활을 지속하기 위해 국내 체류를 하고자 하는 사람
국민과 혼인관계(사실상의 혼인관계를 포함)에서 출생한 자녀를 양육하고 있는 부 또는 모로서 법무부장관이 인정하는 사람
국민인 배우자와 혼인한 상태로 국내에 체류하던 중 그 배우자의 사망이나 실종, 그 밖에 자신에게 책임이 없는 사유로 정상적인 혼인관계를 유지할 수 없는 사람으로서 법무부장관이 인정하는 사람
체류자격 세부약호
F-6-1: 양 당사자 국가에 혼인이 유효하게 성립되어 있고, 우리 국민과 결혼생활을 지속하기 위해 국내 체류를 하고자 하는 외국인
F-6-2: 국민과 혼인관계(사실상의 혼인관계 포함)에서 출생한 미성년 자녀를 혼인관계 단절 후 국내에서 양육하거나 양육하려는 부 또는 모
F-6-3: 국민인 배우자와 혼인한 상태로 국내에 체류하던 중 그 배우자의 사망·실종, 그 밖에 자신에게 책임이 없는 사유로 정상적인 혼인관계를 유지할 수 없는 사람
체류자격외 활동: 체류자격 구분에 따른 취업활동의 제한을 받지 않음",,,,3년,"사실혼 인정 기준: 주관적으로 혼인의 의사가 있고, 객관적으로는 사회통념상 가족질서의 면에서 부부공동생활을 인정할 만한 실체가 있는 경우 (대법원98므961, 1998.12.08)
혼인의사 없이 단순 동거를 한 경우, 법률상 보호를 받을 수 없는 중혼적 사실혼 관계인 경우에는 사실혼 관계로 볼 수 없음",,,,,,,,"F-6 결혼이민 3개 세부약호: F-6-1(국민의 배우자), F-6-2(자녀 양육자), F-6-3(혼인단절자)",p. 441,,"결혼이민, 국민 배우자, 자녀 양육자, 혼인단절자","한국인이랑 결혼했는데 어떤 체류자격을 받아요?
한국인 배우자랑 사이에 아이가 있는데 어떻게 살아갈 수 있어요?
한국인 배우자가 사망했는데 한국에 계속 살 수 있나요?",미검수,
F-6,F-6,체류,체류자격 부여,,,,"법 제23조(체류자격 부여)에 따라 출생 또는 사정 발생 후 일정 기간 내 신청
1. 국내 체류 중 대한민국 국적을 상실한 사람에 대해 체류목적에 따라 결혼이민(F-6) 체류자격 부여
2. 주한미군 현지 제대자에 대해 체류목적에 따라 결혼이민(F-6) 체류자격 부여
대한민국에서 출생하여 체류자격을 가지지 못하고 체류하는 외국인은 출생한 날부터 90일 이내 신청
체류 중 국적 상실 등 사유 발생한 외국인은 사유 발생일부터 30일 이내 신청",제출서류 및 체류허가 기간은 체류자격변경허가와 준함,,4만원,,,,,,,,,,,p. 441,,"결혼이민, 체류자격 부여, 국적 상실, 주한미군 제대자","국적 잃었는데 결혼이민으로 자격 받을 수 있나요?
주한미군에서 제대했는데 결혼이민비자 받을 수 있어요?",미검수,
F-6 (F-6-1),F-6,체류,체류자격 변경,F-6-1,"국내 합법체류자
한국인 배우자(초청인)의 소득요건
외국인 배우자의 의사소통 요건",국내 합법체류자,"국내 합법체류자 중 국민의 배우자(F-6-1) 자격으로 변경하려는 사람
국제결혼안내프로그램 면제 대상자:
① 외국인 배우자의 국가에서 6개월 이상 또는 제3국에서 유학, 파견근무 등 장기사증으로 계속 체류하면서 교제한 사실을 입증할 수 있는 자
② 외국인 배우자가 장기체류자격으로 91일 이상 합법 체류하면서 교제한 사실 입증할 수 있는 자
③ 임신, 출산 그 밖에 인도적인 고려가 필요한 자
초청인의 과거 1년간 연간소득(세전)이 가구 인원수별 기준 이상
인정 소득: 근로소득 + 사업소득(농림수산업 포함) + 부동산 임대소득 + 이자소득 + 배당소득 + 연금소득의 합계
비정기적 소득은 산정 제외
재산 보충: 재산의 5%를 소득으로 인정 (취득일로부터 6개월 이상 지속, 순 재산만 인정)
가족 소득 보충: 한국인 배우자와 주민등록표상 세대를 같이 하는 직계가족 또는 결혼이민자만
주거지는 한국인 배우자 또는 한국인 배우자의 직계가족, 형제, 자매 명의로 소유 또는 임차한 곳
주거지 주소는 주민등록등본 주소지와 동일해야 함
결혼이민(F-6) 이외의 체류자격으로 체류 중인 외국인으로 국민과 혼인관계(사실상의 혼인관계 포함)에서 출생한 미성년 자녀를 국내에서 양육하고 있는 부 또는 모
아래 요건을 모두 갖춘 사람
① 결혼이민(F-6) 이외의 자격으로 체류 중인 사람
② 국민과 정상적인 혼인생활을 유지하면서 국내에서 체류 중 한국인 배우자의 사망·실종, 그 밖에 자신에게 책임없는 사유로 혼인 단절된 사람
국민과 혼인이 단절되었으나 혼인단절자(F-6-3)에 해당하지 않는 사람으로서 재산분할, 가사정리 등의 사유로 국내 체류가 불가피한 사람
심사기준: 혼인단절 전 정상적인 혼인 생활 유지 여부, 국내 체류의 불가피성 여부 등","기본서류
- 통합신청서(별지34호)
- 여권용 사진 1매
- 신청인(외국인 배우자) 여권 원본 (잔여 유효기간 6개월 이상) 및 사본
- 비자 신청 수수료
- 외국인 배우자 초청장 (한국인 배우자가 한글로 작성)
- 신원보증서
- 외국인 배우자의 결혼배경진술서 (영어 작성)
- 한국인 배우자 여권 사본
- 기본증명서(상세), 혼인관계증명서(상세), 가족관계증명서(상세), 주민등록등본 (한글 원본, 발급일 3개월 이내)
- 국제결혼 안내프로그램 이수증 (면제 대상자 제외)
- 건강진단서 원본 (면제 대상자 제외)
- (외국인 배우자) 결혼증명서 원본 (필요한 경우)
- (외국인 배우자) 범죄경력증명서 원본 (발급일 3개월 이내, 면제 대상자 제외)
- (외국인 배우자) 건강진단서 원본
- 해당 국가 특별 적용 서류 (예: 필리핀 CFO 교육이수증)
공통 필수
- 소득금액증명 원본 (국세청 홈택스 또는 세무서 발급)
- 신용정보조회서 (한국신용정보원 발급)
근로소득 활용 시
- 근로소득 원천징수부
- 재직증명서
- 사업자등록증 사본
사업소득 활용 시
- 사업자등록증 사본 (농림수산업 종사자 예외)
- 소득입증 서류 (선택사항)
기타 소득
- 임대소득: 등기부등본, 임대차계약서
- 이자소득: 은행거래내역서 등
재산 활용 시
- 예금, 보험, 증권, 채권 (100만원 이상 6개월 이상 지속)
- 부동산: 등기부등본 + 공시가격표
가족 소득·재산 활용 시
- 외국인 배우자 초청인의 가족소득 현황 진술서
한국어 입증서류 (택일)
- 한국교육원(한국어강좌 2단계) 또는 세종학당(초급1A+1B) 수료증 (120시간 이상)
- 한국어능력시험(TOPIK) 성적증명서 (TOPIK 1급 이상)
- 지정된 한국어 교육기관 이수증
- 한국어 관련 대학(원) 학위증
- 외국국적동포 입증서류 (한국어구사 능력 확인 시)
- 외국인 배우자가 한국에서 1년 이상 계속 체류 입증서류
외국인 배우자의 언어 (택일)
- 한국인 배우자가 외국인 배우자 언어가 공용어인 국가에서 1년 이상 계속 체류 입증서류
- 한국인 배우자가 외국인 배우자 언어 공용어 국가 출신 귀화자 입증서류
그 외 언어
- 한국인·외국인 배우자가 해당 언어 공용어 국가에서 1년 이상 계속 체류 입증서류
공통
- 그 밖의 의사소통 가능 입증서류 (언어능력시험 점수, 대사관 인터뷰 합격)
자가인 경우
- 등기부등본
임대인 경우
- 등기부등본
- 임대차계약서 사본
공통 필수
- 교제 경위, 혼인의 진정성을 입증할 수 있는 서류 (교제 사진, 가족 사진, SNS 대화 내역 등 자유롭게 A4용지에 편집, 5쪽 이내)
결혼중개업체를 통해 만난 경우
- 결혼중개업체 등록증 사본
- 보증보험증권 사본
- 계약서 사본
지인 소개로 만난 경우
- 소개자 신분증 사본
- 신청서(별지 제34호 서식), 여권, 외국인등록증(해당자), 표준규격사진 1매, 수수료
- 자녀가 국민인 경우 자녀 명의의 기본증명서·가족관계증명서
- 가족(친자)관계 입증서류 (출생증명서, 유전자검사 확인 서류)
- 자녀양육 입증서류 (판결문, 자녀가 등재된 주민등록등본, 5촌 이내 한국인 친척이나 통(반)장의 확인서 등)
- 혼인단절자(이혼/사망/실종 등)의 경우 그 사유를 입증하는 서류 (해당자에 한함)
- 범죄경력증명서 및 건강진단서 (기제출자로서 해외 6개월 이상 연속 체류 사실 없는 자는 면제)
- 그 밖에 심사에 필요하다고 인정되는 서류
공통
- 신청서(별지 제34호 서식), 여권, 외국인등록증, 표준규격사진 1매, 수수료
- 범죄경력증명서 및 건강진단서 (기제출자로서 해외 6개월 이상 연속 체류 사실 없는 자는 면제)
사망의 경우
- 배우자의 사망 입증서류 (사망진단서, 배우자의 사망사실이 기재된 기본증명서 등)
- 가족관계 입증서류 (혼인관계 증명서 등)
이혼의 경우
- 이혼사실이 기재된 혼인관계 증명서
- 이혼관련 소송서류 (소장, 이혼 판결문 등)
- 귀책사유 입증자료 (가출신고서, 폭행 진단서, 검찰 불기소결정문, 공인 여성관련 단체 확인서, 4촌 이내 친척 확인서, 통(반장) 확인서 등)
실종의 경우
- 실종사실 증명서류 (실종선고심판서)
- 가족관계 입증서류 (혼인관계 증명서 등)
- 신청서(별지 제34호 서식), 여권, 외국인등록증, 사진 1매, 수수료
- 신원보증서
- 이혼 사실이 기재된 혼인관계 증명서
- 체류 불가피성에 대한 소명자료 (사유서, 재산분할 관련 입증자료 등)
- 기타 심사에 필요하다고 인정되는 서류
- 체류지 입증서류 (임대차계약서, 숙소제공 확인서, 체류기간 만료예고 통지우편물, 공공요금 납부영수증, 기숙사비 영수증 등)",체류허가권자: 청(사무소·출장소)장,10만원,"1년 이내
1년
6개월 범위 내
F-1-6 자격의 체류허가 기간은 자격변경일로부터 1년까지","원칙적으로 체류자격 변경이 불가하며, 출국 후 재외공관에서 사증을 발급받아 입국해야 하는 대상:
1. 단기사증 소지자 (B-1, B-2, C-1~C-4)
2. 불법체류자(밀입국자, 위·변조여권행사자 포함)
3. 출국을 위한 체류기간 연장허가를 받은 자
4. 일반 형사범(단순 벌금은 제외)
5. 위 1.~4. 신분으로 체류 중에 기타(G-1) 자격을 받은 자
관광취업(H-1) 자격자는 결혼이민(F-6)으로 체류자격 변경 불가
제3자 명의로 소유 또는 임차한 경우 원칙적으로 주거요건 미충족
제한 대상은 F-6-3 변경 불가:
- 단기체류자
- 형사범 (단순 벌금형 받은 사람 제외)
- 출국을 위한 체류기간 연장허가를 받은 사람
- 위 제한 대상이었으나 기타(G-1) 자격 체류허가를 받은 사람
신청 당시 F-6-1 자격 체류 중인 경우 체류기간 연장허가 대상임","사증면제(B-1) 자격 입국 독일인은 결혼이민(F-6) 체류자격 변경 가능
임신·출산 또는 부부사이 출생 자녀(양자, 친양자 제외) 양육 등의 사유로 국내 체류자격 변경 불가피한 경우 심사 후 변경 가능
한국인 배우자가 국제결혼 안내프로그램 면제 대상이면 외국인 배우자도 범죄경력증명서·건강진단서 제출 면제 (단 결핵 진단서는 제출)
소득요건 면제 대상:
① 부부 사이에 태어난 자녀가 있는 경우
② 부부가 비자 신청일로부터 1년 이상 외국에서 동거하여 최근 1년간 국내 소득이 없는 경우
③ 과거 외국인 배우자가 결혼이민(F-6) 자격으로 한국에서 체류한 적이 있는 경우 (배우자 변경 또는 혼인 중단 시 제외)
의사소통 요건 적용 면제:
① 부부 사이에 태어난 자녀가 있는 경우
② 과거 외국인 배우자가 결혼이민(F-6) 자격으로 한국에서 체류(장·단기 불문)한 적이 있는 경우 (배우자 변경 또는 혼인 중단 시 제외)
회사 제공 사택 등 사회통념상 인정가능한 장소인 경우 예외 인정
소개 경위 서류 면제:
① 부부 사이에 태어난 자녀가 있는 경우
② 과거 외국인 배우자가 결혼이민(F-6) 자격으로 한국에서 체류한 적이 있는 경우 (배우자 변경 또는 혼인 중단 시 제외)",,,"2026년 기준 소득요건 (8인 이상은 1인당 5,755,188원씩 증가)
2인 가구: 25,195,752원
3인 가구: 32,154,216원
4인 가구: 38,968,428원
5인 가구: 45,340,314원
6인 가구: 51,335,712원
7인 가구: 57,090,900원
2025년 기준 (8인 이상 1인당 5,541,738원씩 증가)
2인: 23,595,948, 3인: 30,152,118, 4인: 36,586,638, 5인: 42,649,152, 6인: 48,388,830, 7인: 53,930,568원
2024년 기준 (8인 이상 1인당 5,379,750원씩 증가)
2인: 22,095,654, 3인: 28,287,942, 4인: 34,379,478, 5인: 40,174,410, 6인: 45,710,214, 7인: 51,089,964원",,,,F-6-1 결혼이민 소득요건 가구 인원수별 기준 (2024/2025/2026),p. 442,"B-1, B-2, C-1, C-4, H-1, G-1, F-1, F-6-3","국민의 배우자, 체류자격 변경, 단기사증 제한, 형사범 제한, 결혼이민, 국제결혼 안내프로그램, 초청장, 신원보증서","한국인이랑 결혼했는데 비자 어떻게 바꿔요?
관광비자로 들어와서 결혼했는데 결혼이민으로 변경 가능한가요?
임신 중이라 출국하기 어려운데 자격 변경 받을 수 있어요?
결혼이민비자 신청할 때 어떤 서류 다 챙겨가야 해요?",미검수,
F-6 (F-6-1),F-6,체류,체류기간 연장,F-6-1,국민의 배우자(F-6-1) 자격으로 체류 중 혼인이 단절된 자,,"최초 체류기간 연장허가: 결혼이민(F-6-1, 90일) 사증으로 입국 후 90일 이내 주소지 관할 청에 체류기간 연장 및 외국인등록 신청
체류기간 연장허가: 국민의 배우자(F-6-1) 자격으로 체류 중인 사람
국민의 배우자(F-6-1) 자격으로 체류 중인 외국인으로서
① 배우자와 별거 중인 사람 (별거: 형식적 혼인관계는 유지하나 장기간 함께 지내지 않는 것, 주말부부는 별거 아님)
② 배우자와 이혼소송이 진행 중인 사람 (이혼소송 준비 중, 추완 항소 중 포함)
③ 배우자가 실종되었으나 가정법원의 실종선고를 받기 전인 사람
최초 체류기간 연장허가: 자녀양육(F-6-2, 90일) 사증으로 입국 후 90일 이내 신청
체류기간 연장허가: 자녀양육(F-6-2) 자격으로 체류 중인 사람
한국인 배우자와의 사이에 출생한 자녀에 대한 면접교섭권을 가진 사람
심사기준 (모두 충족, 필요시 실태조사)
① 가정법원결정 등에 의하여 면접교섭권이 제한·배제되지 않았을 것
② 자녀와의 지속적인 교류가 있을 것
가. 국민의 배우자가 사망한 후 최초 체류기간 연장: F-6-1 자격으로 국내에서 국민과 정상적인 혼인생활 중 국민인 배우자가 질병, 사고 기타의 사유로 사망한 사람
나. 국민 배우자가 실종된 후 최초 체류기간 연장: F-6-1 자격으로 국내에서 국민과 정상적인 혼인생활 중 한국인 배우자가 실종된 경우 (가정법원의 실종선고 必)
다. 국민 배우자와 이혼한 후 최초 체류기간 연장: F-6-1 자격으로 국내에서 국민과 정상적인 혼인생활 중 자신에게 책임 없는 사유(국민의 가출, 폭력 등)로 이혼한 사람
라. 혼인단절(F-6-3) 자격으로 체류 중인 외국인의 연장
심사기준: 혼인단절 전 정상적인 혼인 생활 유지 여부, 국내 체류의 불가피성 여부 등","최초 체류기간 연장
- 신청서(별지 제34호 서식), 여권, 표준규격사진 1매, 수수료
- 한국인 배우자의 혼인관계증명서(상세) 및 주민등록등본
- (자녀 있을 경우) 자녀명의 가족관계증명서
- 외국인 직업 신고서
- 체류지 입증서류
체류기간 연장
- 신청서(별지 제34호 서식), 여권, 수수료
- 혼인관계증명서(상세), 주민등록등본
- 자녀명의 가족관계증명서 (해당 시)
- 외국인 직업 신고서
- 체류지 입증서류
공통
- 신청서, 여권 및 외국인등록증, 수수료
- 한국인 배우자의 혼인관계증명서(상세) 및 주민등록등본
- 자녀명의 가족관계증명서 (해당 시)
- 외국인 직업 신고서
- 체류지 입증서류
별거
- 별거사유 입증서류 (한국인 배우자 가출신고서, 상해 진단서·증거사진, 가정폭력 보호시설 입소 확인서, 형사판결문, 주변인 확인서, 공인 여성단체 확인서)
- 배우자가 수감 중인 경우: 수용증명서(필수), 4촌 이내 가족 확인서
이혼
- 이혼소송 관련 서류 (소제기 증명원 등)
실종
- 실종사실 증명서류 (가정법원 수리 실종선고심판 청구서, 실종신고서, 주변인 확인서 또는 공인 여성단체 확인서)
최초 연장
- 신청서, 여권, 표준규격사진 1매, 수수료
- 자녀명의 기본증명서·가족관계증명서 (자녀가 국민인 경우)
- 외국인 직업 신고서
- 체류지 입증서류
체류기간 연장
- 신청서, 여권, 수수료
- 자녀명의 기본증명서·가족관계증명서
- 자녀를 계속 양육하고 있음을 입증하는 서류 (학비 영수증, 자녀의 병원비 영수증 등)
- 외국인 직업 신고서
- 체류지 입증서류
- 신청서
- 자녀가 국민인 경우 자녀 명의의 기본증명서·가족관계증명서
- 이혼판결문 등 (면접교섭권 제한여부 확인용, 협의이혼 시 생략 가능, 혼인단절 후 최초 체류기간 연장 시에만 징구하고 추후 생략)
- 사진 등 자녀와의 지속적인 교류를 증명할 수 있는 서류
- 외국인 직업 신고서
- 기타 심사에 필요하다고 인정되는 서류
사망의 경우
- 신청서, 여권 및 외국인등록증, 수수료
- 배우자의 사망 입증서류
- 가족관계 입증서류 (혼인관계증명서 등)
- 자녀명의 가족관계증명서 (해당 시)
- 외국인 직업 신고서, 체류지 입증서류
실종의 경우
- 신청서, 여권 및 외국인등록증, 수수료
- 실종사실 증명서류 (실종선고심판서)
- 가족관계 입증서류
- 외국인 직업 신고서, 체류지 입증서류
이혼의 경우
- 신청서, 여권 및 외국인등록증, 수수료
- 이혼사실이 기재된 혼인관계증명서(상세)
- 이혼관련 소송서류 (이혼판결문, 조정조서, 화해권고결정문, 협의이혼 사유서 등)
- 귀책사유 입증자료
- 자녀명의 가족관계증명서 (해당 시)
- 외국인 직업 신고서, 체류지 입증서류
- 신청서, 여권 및 외국인등록증, 사진 1매, 수수료
- 신원보증서 (신원보증기간이 남아있는 경우 생략 가능)
- 이혼 사실이 기재된 혼인관계 증명서
- 체류 불가피성에 대한 소명자료 (사유서, 재산분할 관련 입증자료 등)
- 기타 심사에 필요하다고 인정되는 서류
- 체류지 입증서류",,3만원,"최초 연장: 입국일로부터 1년
국제결혼 안내프로그램 대상 7개 국가(중국, 베트남, 필리핀, 태국, 캄보디아, 우즈베키스탄, 몽골) 국민:
- 입국 후 조기적응프로그램 이수자: 외국인등록 시 2년
- 미이수자: 입국일로부터 2년까지 6개월 단위로 체류기간 부여
체류기간 연장: 1년 범위 내
한국인 배우자와 출생한 자녀를 양육 중인 경우: 3년 범위 내
최초 연장: 입국일로부터 1년 (조기적응 프로그램 이수 시 2년)
체류기간 연장: 3년 범위 내
F-6-2로 1년 범위 내
1년 범위 내
매회 6개월 범위 내
F-1-6 자격의 체류허가 기간은 자격변경일로부터 1년까지",면접교섭권이 제한·배제된 경우 또는 자녀와의 교류가 없는 경우 체류 불허,"특칙: 외국인의 귀책사유로 이혼한 경우라도 한국인 배우자의 부모 또는 가족을 부양하는 경우 사실관계 확인 및 부양관련 입증서류 징구 후 F-6-3으로 1년 범위 내 체류허가
채권, 채무, 부동산임대차 보증금 반환 등을 사유로 소송(소액사건심판청구 포함)이 계속되는 경우 자격변경일로부터 1년이 지났다면 기타(G-1)자격으로 소송 종료시까지 체류허가",,,,,,,,p. 454,"F-1, G-1","결혼이민 체류기간 연장, 조기적응프로그램, 7개 국가, 결혼이민 별거, 이혼소송, 실종, 가정폭력, 자녀 양육 연장","결혼이민비자 처음 받고 한국 들어왔는데 언제까지 체류기간 연장해야 해요?
조기적응프로그램 들으면 비자가 길어지나요?
아이가 있는 경우 체류기간 더 길게 받을 수 있나요?
한국인 남편이랑 별거 중인데 체류기간 연장 가능한가요?",미검수,
F-6,F-6,체류,재입국허가,,,,"재입국허가 면제기간: 1년 (체류기간 만료일이 1년보다 적게 남아있는 경우 체류기간 범위 내)
복수 재입국허가 기간: 2년 (체류기간 만료일이 2년보다 적게 남아있는 경우 체류기간 범위 내)",,,단수 3만원 / 복수 5만원,,입국규제자인 경우에는 본부 승인을 받아 재입국허가 필요,면제 대상자는 별도 재입국허가 불필요,,,,,,,,p. 460,F-2,"결혼이민 재입국허가, 면제, 복수 재입국, 2년","결혼이민비자로 한국 떠나있다가 다시 들어올 때 따로 허가 받아야 해요?
출국하고 2년까지 다시 들어올 수 있는 방법이 있나요?",미검수,
F-6,F-6,체류,외국인등록,,,,"국민의 배우자(F-6-1): 결혼이민(F-6-1) 사증으로 입국 후 90일 이내에 주소지 관할 청에 외국인등록
자녀 양육자(F-6-2): 결혼이민(F-6-2) 사증으로 입국한 사람","국민의 배우자(F-6-1)
- 신청서(별지 제34호 서식), 여권, 표준규격사진 1매, 수수료
- 한국인 배우자의 혼인관계증명서(상세)
- 한국인 배우자의 주민등록등본
- 자녀가 있을 경우 자녀 명의 가족관계증명서
자녀 양육자(F-6-2)
- 신청서, 여권, 표준규격사진 1매, 수수료
- 자녀가 국민인 경우 자녀 명의의 기본증명서·가족관계증명서
- 체류지를 입증할 수 있는 서류",,외국인등록증 발급·재발급 3만 5천원,F-6-2 입국일로부터 1년,F-6-2 입국한 날로부터 90일을 초과하여 등록하는 경우에는 사범처리,,,,,,,,,p. 460,,"결혼이민 외국인등록, 90일 이내, 혼인관계증명서","결혼이민비자로 한국 들어왔는데 외국인등록은 언제까지 해야 해요?
자녀양육자 비자도 외국인등록 90일 이내에 해야 해요?",미검수,
G-1,G-1,체류,공통사항,,,"법무부장관이 인정하는 사람의 범위
- 산업재해 청구 및 치료 중인 사람과 그 가족
- 질병, 사고로 치료 중인 사람과 그 가족
- 각종 소송 진행 중인 사람
- 임금체불로 노동관서에서 중재 중인 사람
- 난민신청자
- 난민불인정자 중 인도적 체류허가자
- 사고 등으로 사망한 사람의 가족
- 임신, 출산 등 인도적 체류허가자
- 질병치료 등으로 입국 후 장기치료가 필요한 환자와 그 가족
- 성폭력 피해자 등 인도적 고려가 필요한 사람
- 인도적 체류자(G-1-6)의 가족
- 기타 사유에 해당되는 사람","출입국관리법 시행령 별표 1의 2호 중 외교(A-1)부터 방문취업(H-2)까지 또는 영주(F-5) 체류자격에 해당하지 않는 사람으로서 법무부장관이 인정하는 사람
활동범위: A-1 ~ F-6, H-1, H-2 자격에 해당하지 아니하는 활동",,,,1년,,,,,,,,,,p. 462,"A-1, F-5, F-6, H-1, H-2","기타, 인도적 체류, 난민, 산재, 소송","어떤 비자에도 안 맞는 사람들이 받을 수 있는 비자가 있어요?
산재로 치료 중인데 어떤 체류자격을 받을 수 있나요?
소송 진행 중이라 한국에 더 머물러야 하는데 비자 어떻게 하나요?",미검수,
